Merchant,Category 1,Category 2
MCDONALD'S,Food,Fast Food
WAL-MART,Groceries,
YOUTUBEPREMIUM,Subscriptions,
BC LIQUOR,Entertainment,
UBER,Transportation,Rideshare
MEXICAN,Food,Restaurant
INSTALLMENT PLAN,CC Loan,
DOORDASH,Food,Take out
AMAZON,Shopping,Online Shopping
PAPPAROTTI,Food,Coffee
ALIPAY,Shopping,Online Shopping
BREKA,Food,Coffee
DOLLARAMA,Shopping,
YWCA,Health & Fitness,Gym
LIM*RIDE,Transportation,Rideshare
MUSE,Entertainment,Weed
FIDO,Subscriptions,Mobile Phone
INTEREST,CC Loan,
MEMBERSHIP FEE,CC Fees,
COMPASS,Transportation,Transit Pass
WHOLE FOODS,Groceries,
MOBI,Subscriptions,Rideshare
THE YALE,Entertainment,
CINEPLEX,Entertainment,
BCF-TSA,Transportation,Ferry
PAYMENT RECEIVED,Payment,
TCKTWEB,Entertainment,
ARCTERYX,Shopping,Clothes
BURTON,Shopping,Clothes
TIM HORTONS,Food,Fast Food